Demand ID,Role Status,Region,Project Name,Project Type,Demand Received Date,Track,Location Shore,Primary Skill (Must have),Grade,Role Start Date,Role End Date,Number of FTE,Email,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills,Employment ID
9113,Staffed,NA,"Robinson, Golden and Stevens",CEMS,7/6/2024,HCM,Offshore,Onboarding Journeys,T2,9/1/2025,11/29/2026,0.9,gregcollins@example.org,Patty,Collins,7/3/2021,UK/EUROPE - UK,Manager II - Projects,05-Grade 5,AD,Onsite,On Project - Partial,"Core HR,ORC,Absence",19831
2325,Staffed,NA,Reeves-Middleton,Impl,12/1/2024,HCM,Onsite,"Core HR,Talent",G8,8/20/2025,2/4/2026,0.6,jesusbailey@example.org,Joseph,Cochran,7/25/2024,UK/EUROPE - UK,Associate Consultant,10-Grade 9,HCM,Onsite,Bench,"Core HR,Talent",20268
4558,Staffed,AMEA,Gonzalez-Thomas,Impl,11/22/2024,FIN,Offshore,Onboarding Journeys,T2,7/3/2025,10/6/2026,1,cohencassandra@example.com,Tamara,Valdez,6/1/2024,AMEA - KSA,Associate Consultant,T2-Programmer Trainee,AD,Onsite,On Project - Fulltime,"Core HR,Talent",41036
7025,Open,NA,Russell Ltd,CEMS,3/7/2024,FIN,Onsite,Core HR & Payroll,G10,1/1/2025,10/10/2026,0.6,tylerjohnson@example.com,Randy,Palmer,7/26/2020,AMEA - KSA,Associate Consultant,04-Grade 4,AD,Offshore,On Project - Partial,"AP,AR",77301
3800,Open,NA,Fox LLC,CEMS,12/26/2023,FIN,Onsite,"Core HR,Talent",G10,1/31/2025,4/15/2026,1,clarknatasha@example.com,Debra,Peters,4/21/2021,AMEA - KSA,Sr. Consultant II,07-Grade 7,ERP Finance,Offshore,Bench,"Core HR,Talent",60328
3548,Open,AMEA,"Rose, Lucas and Adams",CEMS,3/13/2024,HCM,Offshore,Onboarding Journeys,G8,12/6/2025,3/2/2026,1,mgarcia@example.org,Donna,Watson,12/5/2022,AMEA - KSA,Manager II - Projects,07-Grade 7,PRGM,Onsite,Bench,SQL,98962
2094,Staffed,AMEA,"Good, Oliver and Beck",Impl,2/27/2024,FIN,Onsite,"Core HR,Talent",G10,7/16/2025,4/22/2026,0.8,edward72@example.net,Morgan,Ward,9/15/2022,NA,Consultant II,10-Grade 9,PRGM,Onsite,Bench,"AP,AR",99280
7848,Staffed,EUK,"Hall, Mccall and Simpson",CEMS,11/9/2024,HCM,Onsite,Core HR & Payroll,T2,6/4/2025,8/11/2026,0.8,eroth@example.com,George,Sawyer,11/15/2021,NA,Manager II - Projects,04-Grade 4,PRGM,Offshore,Bench,"Core HR,Talent",99131
9162,Staffed,EUK,"Olson, Blake and Ballard",Impl,10/4/2024,HCM,Onsite,"Core HR,Talent",G8,6/10/2025,6/15/2026,0.8,melissasanchez@example.net,Jeremy,Ross,7/5/2022,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Freshers Training,"Core HR,Talent",74824
3395,Staffed,NA,Miller Ltd,Impl,5/4/2024,HCM,Onsite,Redwood HCM - Core HR and ORC,G8,9/29/2025,1/30/2026,0.7,matthew58@example.com,Daniel,Tate,10/5/2024,CORPORATE,Consultant II,T2-Programmer Trainee,SCM,Offshore,Bench,"Core HR,ORC,Absence",40695
1813,Staffed,AMEA,"Rivera, Navarro and Rice",CEMS,11/5/2024,HCM,Offshore,Onboarding Journeys,G6,12/26/2024,3/6/2026,0.8,meyerrobert@example.net,Patrick,Crosby,7/16/2020,NA,Sr. Consultant II,07-Grade 7,PRGM,Onsite,On Project - Fulltime,"AP,AR",20622
8498,Open,AMEA,Taylor Inc,CEMS,10/31/2024,FIN,Onsite,"Core HR,Talent",G10,9/5/2025,12/1/2026,0.6,lhooper@example.net,Richard,Huerta,6/22/2022,CORPORATE,Manager II - Projects,05-Grade 5,AD,Onsite,Freshers Training,"AP,AR",47875
9841,Staffed,EUK,"Chapman, Davidson and Reid",CEMS,12/5/2024,FIN,Offshore,Core HR & Payroll,G5,7/4/2025,10/1/2026,0.7,simmonsstephanie@example.com,Stacey,Moore,12/29/2021,UK/EUROPE - UK,Consultant II,04-Grade 4,ERP Finance,Offshore,On Project - Partial,"ORC,Talent",65142
9727,Staffed,NA,Gibson-Mason,CEMS,7/19/2024,FIN,Offshore,Core HR & Payroll,G6,11/6/2025,11/2/2026,0.9,morganrobert@example.net,Joel,Mckay,7/5/2020,NA,Associate Consultant,07-Grade 7,SCM,Onsite,On Project - Partial,"ORC,Talent",56501
1867,Open,AMEA,"Kline, Mayer and Gill",Impl,10/21/2024,FIN,Onsite,Core HR & Payroll,G6,4/3/2025,6/13/2026,0.9,cassandrathompson@example.net,Megan,Cline,9/9/2024,AMEA - KSA,Sr. Consultant II,07-Grade 7,SCM,Onsite,On Project - Fulltime,"Core HR,ORC,Absence",47743
5126,Open,EUK,Moran-Sims,Impl,7/5/2024,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G5,12/20/2024,3/11/2026,0.7,lbrown@example.com,Jared,Miller,1/9/2020,NA,Associate Consultant,T2-Programmer Trainee,HCM,Offshore,Freshers Training,"Core HR,Talent",21892
3362,Staffed,NA,Anderson Inc,Impl,1/26/2024,HCM,Offshore,Onboarding Journeys,G8,3/4/2025,11/23/2026,0.6,jesusbailey@example.org,Joseph,Cochran,7/25/2024,UK/EUROPE - UK,Associate Consultant,10-Grade 9,HCM,Onsite,Bench,"Core HR,Talent",20268
5383,Staffed,AMEA,Smith PLC,Impl,6/30/2024,FIN,Offshore,Redwood HCM - Core HR and ORC,G6,5/2/2025,4/23/2026,0.6,angela96@example.net,Lisa,Crosby,3/19/2021,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"Core HR,Talent",89373
7146,Open,NA,"Willis, Obrien and Estrada",Impl,4/10/2024,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,3/15/2025,9/16/2026,0.6,stephanieweaver@example.com,Jennifer,Vargas,10/13/2024,UK/EUROPE - UK,Consultant II,09-Grade 9,AD,Offshore,On Project - Fulltime,"Core HR,Talent",68692
3106,Open,AMEA,"Casey, Booker and Watkins",CEMS,7/12/2024,HCM,Offshore,Onboarding Journeys,G5,6/23/2025,3/30/2026,0.9,ishaw@example.net,Anita,Anderson,3/12/2023,CORPORATE,Consultant I,10-Grade 9,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence",29940
